method k n time
reservoir_sample 42000 100000 1944
reservoir_sample_std 42000 100000 819
reservoir_sample_std_iterator 42000 100000 804
reservoir_sample 43000 100000 1891
reservoir_sample_std 43000 100000 818
reservoir_sample_std_iterator 43000 100000 823
reservoir_sample 44000 100000 1895
reservoir_sample_std 44000 100000 815
reservoir_sample_std_iterator 44000 100000 801
reservoir_sample 45000 100000 1864
reservoir_sample_std 45000 100000 835
reservoir_sample_std_iterator 45000 100000 797
reservoir_sample 46000 100000 1861
reservoir_sample_std 46000 100000 816
reservoir_sample_std_iterator 46000 100000 852
reservoir_sample 47000 100000 1845
reservoir_sample_std 47000 100000 819
reservoir_sample_std_iterator 47000 100000 803
reservoir_sample 48000 100000 1823
reservoir_sample_std 48000 100000 820
reservoir_sample_std_iterator 48000 100000 804
reservoir_sample 49000 100000 1809
reservoir_sample_std 49000 100000 822
reservoir_sample_std_iterator 49000 100000 806
reservoir_sample 50000 100000 1796
reservoir_sample_std 50000 100000 822
reservoir_sample_std_iterator 50000 100000 810
reservoir_sample 51000 100000 1782
reservoir_sample_std 51000 100000 822
reservoir_sample_std_iterator 51000 100000 806
reservoir_sample 52000 100000 1764
reservoir_sample_std 52000 100000 822
reservoir_sample_std_iterator 52000 100000 805
reservoir_sample 53000 100000 1746
reservoir_sample_std 53000 100000 821
reservoir_sample_std_iterator 53000 100000 804
reservoir_sample 54000 100000 1732
reservoir_sample_std 54000 100000 820
reservoir_sample_std_iterator 54000 100000 803
reservoir_sample 55000 100000 1708
reservoir_sample_std 55000 100000 815
reservoir_sample_std_iterator 55000 100000 799
reservoir_sample 56000 100000 1689
reservoir_sample_std 56000 100000 812
reservoir_sample_std_iterator 56000 100000 797
reservoir_sample 57000 100000 1665
reservoir_sample_std 57000 100000 809
reservoir_sample_std_iterator 57000 100000 793
reservoir_sample 58000 100000 1644
reservoir_sample_std 58000 100000 805
reservoir_sample_std_iterator 58000 100000 789
reservoir_sample 59000 100000 1620
reservoir_sample_std 59000 100000 800
reservoir_sample_std_iterator 59000 100000 785
reservoir_sample 60000 100000 1607
reservoir_sample_std 60000 100000 794
reservoir_sample_std_iterator 60000 100000 780
